=============================================
  MBL Simulation Suite — Started: Sun Apr 12 03:01:41 PM IST 2026
=============================================

>>> Starting 01_reproduce_fig3.py at Sun Apr 12 03:01:41 PM IST 2026
---------------------------------------------
Building basis...
Hilbert space dimension: 4900
Initial state: |10101010>(x)|10101010>

--- Disorder strength w = 1.00 ---
  realization 1/100 completed in 7.74 s
  realization 2/100 completed in 7.81 s
  realization 3/100 completed in 7.83 s
  realization 4/100 completed in 7.27 s
  realization 5/100 completed in 8.06 s
  realization 6/100 completed in 8.14 s
  realization 7/100 completed in 7.89 s
  realization 8/100 completed in 8.04 s
  realization 9/100 completed in 8.02 s
  realization 10/100 completed in 7.98 s
  realization 11/100 completed in 7.90 s
  realization 12/100 completed in 6.23 s
  realization 13/100 completed in 5.93 s
  realization 14/100 completed in 8.85 s
  realization 15/100 completed in 10.67 s
  realization 16/100 completed in 8.10 s
  realization 17/100 completed in 9.60 s
  realization 18/100 completed in 4.87 s
  realization 19/100 completed in 5.06 s
  realization 20/100 completed in 10.37 s
  realization 21/100 completed in 9.96 s
  realization 22/100 completed in 11.13 s
  realization 23/100 completed in 8.04 s
  realization 24/100 completed in 10.35 s
  realization 25/100 completed in 11.16 s
  realization 26/100 completed in 9.82 s
  realization 27/100 completed in 9.78 s
  realization 28/100 completed in 8.87 s
  realization 29/100 completed in 10.27 s
  realization 30/100 completed in 11.04 s
  realization 31/100 completed in 9.31 s
  realization 32/100 completed in 8.75 s
  realization 33/100 completed in 7.58 s
  realization 34/100 completed in 7.64 s
  realization 35/100 completed in 7.61 s
  realization 36/100 completed in 7.64 s
  realization 37/100 completed in 7.62 s
  realization 38/100 completed in 8.06 s
  realization 39/100 completed in 8.05 s
  realization 40/100 completed in 7.60 s
  realization 41/100 completed in 7.62 s
  realization 42/100 completed in 6.67 s
  realization 43/100 completed in 7.64 s
  realization 44/100 completed in 5.70 s
  realization 45/100 completed in 5.79 s
  realization 46/100 completed in 7.13 s
  realization 47/100 completed in 7.76 s
  realization 48/100 completed in 8.16 s
  realization 49/100 completed in 8.12 s
  realization 50/100 completed in 7.47 s
  realization 51/100 completed in 7.61 s
  realization 52/100 completed in 8.04 s
  realization 53/100 completed in 7.41 s
  realization 54/100 completed in 7.15 s
  realization 55/100 completed in 7.76 s
  realization 56/100 completed in 7.21 s
  realization 57/100 completed in 7.61 s
  realization 58/100 completed in 7.40 s
  realization 59/100 completed in 8.13 s
  realization 60/100 completed in 7.68 s
  realization 61/100 completed in 7.45 s
  realization 62/100 completed in 7.95 s
  realization 63/100 completed in 7.32 s
  realization 64/100 completed in 7.42 s
  realization 65/100 completed in 5.73 s
  realization 66/100 completed in 7.14 s
  realization 67/100 completed in 7.55 s
  realization 68/100 completed in 8.02 s
  realization 69/100 completed in 7.41 s
  realization 70/100 completed in 7.59 s
  realization 71/100 completed in 7.58 s
  realization 72/100 completed in 7.57 s
  realization 73/100 completed in 6.11 s
  realization 74/100 completed in 6.39 s
  realization 75/100 completed in 8.06 s
  realization 76/100 completed in 7.44 s
  realization 77/100 completed in 7.53 s
  realization 78/100 completed in 7.45 s
  realization 79/100 completed in 7.08 s
  realization 80/100 completed in 7.24 s
  realization 81/100 completed in 7.07 s
  realization 82/100 completed in 7.11 s
  realization 83/100 completed in 7.45 s
  realization 84/100 completed in 7.25 s
  realization 85/100 completed in 6.89 s
  realization 86/100 completed in 6.95 s
  realization 87/100 completed in 5.78 s
  realization 88/100 completed in 7.40 s
  realization 89/100 completed in 7.58 s
  realization 90/100 completed in 7.39 s
  realization 91/100 completed in 7.60 s
  realization 92/100 completed in 7.61 s
  realization 93/100 completed in 6.85 s
  realization 94/100 completed in 6.51 s
  realization 95/100 completed in 7.46 s
  realization 96/100 completed in 7.13 s
  realization 97/100 completed in 7.45 s
  realization 98/100 completed in 7.33 s
  realization 99/100 completed in 7.41 s
  realization 100/100 completed in 7.43 s
All realizations for w=1.00 completed in 774.4 s

--- Disorder strength w = 4.00 ---
  realization 1/100 completed in 7.81 s
  realization 2/100 completed in 11.53 s
  realization 3/100 completed in 11.74 s
  realization 4/100 completed in 11.29 s
  realization 5/100 completed in 11.23 s
  realization 6/100 completed in 11.20 s
  realization 7/100 completed in 11.22 s
  realization 8/100 completed in 10.70 s
  realization 9/100 completed in 9.54 s
  realization 10/100 completed in 10.89 s
  realization 11/100 completed in 10.96 s
  realization 12/100 completed in 11.06 s
  realization 13/100 completed in 11.17 s
  realization 14/100 completed in 10.96 s
  realization 15/100 completed in 10.49 s
  realization 16/100 completed in 10.35 s
  realization 17/100 completed in 10.74 s
  realization 18/100 completed in 9.14 s
  realization 19/100 completed in 11.11 s
  realization 20/100 completed in 10.99 s
  realization 21/100 completed in 10.77 s
  realization 22/100 completed in 11.52 s
  realization 23/100 completed in 11.19 s
  realization 24/100 completed in 11.15 s
  realization 25/100 completed in 8.38 s
  realization 26/100 completed in 10.99 s
  realization 27/100 completed in 9.68 s
  realization 28/100 completed in 10.48 s
  realization 29/100 completed in 8.54 s
  realization 30/100 completed in 10.01 s
  realization 31/100 completed in 10.41 s
  realization 32/100 completed in 10.19 s
